DATUM,STATIONS_ID,MESS_DATUM,QN_8,   P,  P0,eor,P,P0
2023-08-03 00:00:00,4928.0,2023080300.0,3,1002.2,965.9,eor,,
2023-08-03 01:00:00,4928.0,2023080301.0,3,1002.3,966.0,eor,,
2023-08-03 02:00:00,4928.0,2023080302.0,3,1002.0,965.7,eor,,
2023-08-03 03:00:00,4928.0,2023080303.0,3,1002.7,966.3,eor,,
2023-08-03 04:00:00,4928.0,2023080304.0,3,1002.8,966.3,eor,,
2023-08-03 05:00:00,4928.0,2023080305.0,3,1003.9,967.4,eor,,
2023-08-03 06:00:00,4928.0,2023080306.0,3,1004.8,968.2,eor,,
2023-08-03 07:00:00,4928.0,2023080307.0,3,1005.0,968.6,eor,,
2023-08-03 08:00:00,4928.0,2023080308.0,3,1005.5,969.1,eor,,
2023-08-03 09:00:00,4928.0,2023080309.0,3,1005.6,969.3,eor,,
2023-08-03 10:00:00,4928.0,2023080310.0,3,1006.1,969.8,eor,,
2023-08-03 11:00:00,4928.0,2023080311.0,3,1006.6,970.3,eor,,
2023-08-03 12:00:00,4928.0,2023080312.0,3,1006.5,970.4,eor,,
2023-08-03 13:00:00,4928.0,2023080313.0,3,1006.6,970.6,eor,,
2023-08-03 14:00:00,4928.0,2023080314.0,3,1007.1,971.0,eor,,
2023-08-03 15:00:00,4928.0,2023080315.0,3,1007.2,971.1,eor,,
2023-08-03 16:00:00,4928.0,2023080316.0,3,1007.3,971.2,eor,,
2023-08-03 17:00:00,4928.0,2023080317.0,3,1007.4,971.3,eor,,
2023-08-03 18:00:00,4928.0,2023080318.0,3,1008.4,972.1,eor,,
2023-08-03 19:00:00,4928.0,2023080319.0,3,1008.6,972.2,eor,,
2023-08-03 20:00:00,4928.0,2023080320.0,3,1009.5,972.9,eor,,
2023-08-03 21:00:00,4928.0,2023080321.0,3,1010.1,973.4,eor,,
2023-08-03 22:00:00,4928.0,2023080322.0,3,1010.3,973.5,eor,,
2023-08-03 23:00:00,4928.0,2023080323.0,3,1010.6,973.7,eor,,
2023-08-04 00:00:00,4928.0,2023080400.0,3,1011.2,974.2,eor,,
2023-08-04 01:00:00,4928.0,2023080401.0,3,1011.4,974.3,eor,,
2023-08-04 02:00:00,4928.0,2023080402.0,3,1011.3,974.2,eor,,
2023-08-04 03:00:00,4928.0,2023080403.0,3,1011.4,974.2,eor,,
2023-08-04 04:00:00,4928.0,2023080404.0,3,1011.4,974.3,eor,,
2023-08-04 05:00:00,4928.0,2023080405.0,3,1011.8,974.6,eor,,
2023-08-04 06:00:00,4928.0,2023080406.0,3,1012.0,974.9,eor,,
2023-08-04 07:00:00,4928.0,2023080407.0,3,1012.0,975.1,eor,,
2023-08-04 08:00:00,4928.0,2023080408.0,3,1012.2,975.4,eor,,
2023-08-04 09:00:00,4928.0,2023080409.0,3,1012.1,975.4,eor,,
2023-08-04 10:00:00,4928.0,2023080410.0,3,1012.0,975.4,eor,,
2023-08-04 11:00:00,4928.0,2023080411.0,3,1012.0,975.4,eor,,
2023-08-04 12:00:00,4928.0,2023080412.0,3,1012.5,975.8,eor,,
2023-08-04 13:00:00,4928.0,2023080413.0,3,1012.7,976.1,eor,,
2023-08-04 14:00:00,4928.0,2023080414.0,3,1012.6,976.1,eor,,
2023-08-04 15:00:00,4928.0,2023080415.0,3,1012.8,976.2,eor,,
2023-08-04 16:00:00,4928.0,2023080416.0,3,1012.8,976.2,eor,,
2023-08-04 17:00:00,4928.0,2023080417.0,3,1013.4,976.7,eor,,
2023-08-04 18:00:00,4928.0,2023080418.0,3,1014.4,977.4,eor,,
2023-08-04 19:00:00,4928.0,2023080419.0,3,1015.1,978.1,eor,,
2023-08-04 20:00:00,4928.0,2023080420.0,3,1015.6,978.5,eor,,
2023-08-04 21:00:00,4928.0,2023080421.0,3,1015.6,978.5,eor,,
2023-08-04 22:00:00,4928.0,2023080422.0,3,1016.3,979.2,eor,,
2023-08-04 23:00:00,4928.0,2023080423.0,3,1016.0,978.9,eor,,
2023-08-05 00:00:00,4928.0,2023080500.0,3,1015.7,978.6,eor,,
2023-08-05 01:00:00,4928.0,2023080501.0,3,1015.8,978.6,eor,,
2023-08-05 02:00:00,4928.0,2023080502.0,3,1015.8,978.6,eor,,
2023-08-05 03:00:00,4928.0,2023080503.0,3,1015.1,977.9,eor,,
2023-08-05 04:00:00,4928.0,2023080504.0,3,1016.0,978.7,eor,,
2023-08-05 05:00:00,4928.0,2023080505.0,3,1016.2,978.9,eor,,
2023-08-05 06:00:00,4928.0,2023080506.0,3,1016.3,979.0,eor,,
2023-08-05 07:00:00,4928.0,2023080507.0,3,1015.9,978.8,eor,,
2023-08-05 08:00:00,4928.0,2023080508.0,3,1015.7,978.6,eor,,
2023-08-05 09:00:00,4928.0,2023080509.0,3,1015.0,978.2,eor,,
2023-08-05 10:00:00,4928.0,2023080510.0,3,1014.6,977.9,eor,,
2023-08-05 11:00:00,4928.0,2023080511.0,3,1014.2,977.5,eor,,
2023-08-05 12:00:00,4928.0,2023080512.0,3,1013.1,976.6,eor,,
2023-08-05 13:00:00,4928.0,2023080513.0,3,1012.6,976.1,eor,,
2023-08-05 14:00:00,4928.0,2023080514.0,3,1012.0,975.5,eor,,
2023-08-05 15:00:00,4928.0,2023080515.0,3,1011.3,974.9,eor,,
2023-08-05 16:00:00,4928.0,2023080516.0,3,1010.6,974.3,eor,,
2023-08-05 17:00:00,4928.0,2023080517.0,3,1009.9,973.6,eor,,
2023-08-05 18:00:00,4928.0,2023080518.0,3,1009.6,973.3,eor,,
2023-08-05 19:00:00,4928.0,2023080519.0,3,1010.4,973.5,eor,,
2023-08-05 20:00:00,4928.0,2023080520.0,3,1010.5,973.6,eor,,
2023-08-05 21:00:00,4928.0,2023080521.0,3,1010.0,973.1,eor,,
2023-08-05 22:00:00,4928.0,2023080522.0,3,1010.2,973.1,eor,,
2023-08-05 23:00:00,4928.0,2023080523.0,3,1009.7,972.6,eor,,
2023-08-06 00:00:00,4928.0,2023080600.0,3,1009.4,972.4,eor,,
