QN_7,SD_SO
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 10.00
   10,  1.00
   10,  5.00
   10, 17.00
   10, 25.00
   10,  4.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 18.00
   10, 60.00
   10, 53.00
   10, 29.00
   10, 58.00
   10, 58.00
   10, 60.00
   10, 49.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  1.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 31.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 35.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10,  3.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 36.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 60.00
   10, 58.00
   10, 39.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10, 18.00
   10, 44.00
   10, 60.00
   10, 29.00
   10,  0.00
   10,  2.00
   10, 39.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  0.00
   10,  2.00
   10,  8.00
   10,  1.00
   10, 34.00
   10,  8.00
   10,  3.00
   10,  0.00
