STATIONS_ID;MESS_DATUM;QN_8;ABSF_STD;VP_STD;TF_STD;P_STD;TT_STD;RF_STD;TD_STD;EOR
       4280;2023072900;    3;  13.7;  18.3;  16.4;  967.9;  17.0;  94.4;  16.1;eor
       4280;2023072901;    3;  13.3;  17.9;  16.1;  967.5;  16.8;  93.2;  15.7;eor
       4280;2023072902;    3;  13.3;  17.7;  15.8;  967.6;  16.3;  95.6;  15.6;eor
       4280;2023072903;    3;  12.8;  17.1;  15.2;  966.9;  15.6;  96.2;  15.0;eor
       4280;2023072904;    3;  12.8;  17.1;  15.3;  967.0;  15.9;  94.4;  15.0;eor
       4280;2023072905;    3;  13.0;  17.4;  16.0;  966.5;  17.2;  88.6;  15.3;eor
       4280;2023072906;    3;  13.5;  18.2;  16.7;  966.5;  18.0;  88.1;  16.0;eor
       4280;2023072907;    3;  13.8;  18.6;  16.8;  966.9;  17.6;  92.1;  16.3;eor
       4280;2023072908;    3;  14.0;  18.9;  17.2;  966.6;  18.4;  89.3;  16.6;eor
       4280;2023072909;    3;  13.5;  18.2;  17.0;  966.5;  18.9;  83.3;  16.0;eor
       4280;2023072910;    3;  14.1;  19.0;  17.3;  966.9;  18.3;  90.4;  16.7;eor
       4280;2023072911;    3;  14.4;  19.5;  18.2;  966.9;  20.4;  81.4;  17.1;eor
       4280;2023072912;    3;  14.1;  19.2;  18.4;  966.5;  21.5;  74.6;  16.8;eor
       4280;2023072913;    3;  14.0;  19.0;  18.5;  966.5;  22.0;  71.9;  16.7;eor
       4280;2023072914;    3;  12.9;  17.6;  18.1;  966.3;  23.0;  62.7;  15.5;eor
       4280;2023072915;    3;  11.8;  16.2;  17.7;  966.1;  24.0;  54.3;  14.2;eor
       4280;2023072916;    3;  11.7;  16.0;  17.6;  965.8;  24.0;  53.6;  14.0;eor
       4280;2023072917;    3;  11.6;  15.9;  17.8;  966.1;  24.7;  51.0;  13.9;eor
       4280;2023072918;    3;  11.4;  15.6;  17.4;  966.3;  24.1;  51.9;  13.6;eor
       4280;2023072919;    3;  11.2;  15.3;  16.5;  966.5;  21.8;  58.5;  13.3;eor
       4280;2023072920;    3;  11.9;  16.1;  16.0;  967.1;  19.2;  72.3;  14.1;eor
       4280;2023072921;    3;  12.1;  16.2;  15.4;  967.4;  17.5;  81.0;  14.2;eor
       4280;2023072922;    3;  13.0;  17.4;  16.0;  967.6;  17.3;  88.0;  15.3;eor
       4280;2023072923;    3;  13.2;  17.6;  16.0;  967.4;  17.0;  90.9;  15.5;eor
       4280;2023073000;    3;  13.4;  18.0;  16.2;  966.9;  16.9;  93.2;  15.8;eor
       4280;2023073001;    3;  13.7;  18.3;  16.6;  967.3;  17.4;  92.1;  16.1;eor
       4280;2023073002;    3;  14.0;  18.8;  16.8;  967.3;  17.3;  95.1;  16.5;eor
       4280;2023073003;    3;  13.5;  18.1;  16.2;  967.2;  16.7;  95.0;  15.9;eor
       4280;2023073004;    3;  12.9;  17.3;  15.6;  967.6;  16.2;  93.8;  15.2;eor
