STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;EOR
       4280;2023072900;    3;  17.0;  94.0;eor
       4280;2023072901;    3;  16.8;  93.0;eor
       4280;2023072902;    3;  16.3;  95.0;eor
       4280;2023072903;    3;  15.6;  96.0;eor
       4280;2023072904;    3;  15.9;  94.0;eor
       4280;2023072905;    3;  17.2;  89.0;eor
       4280;2023072906;    3;  18.0;  88.0;eor
       4280;2023072907;    3;  17.6;  92.0;eor
       4280;2023072908;    3;  18.4;  89.0;eor
       4280;2023072909;    3;  18.9;  83.0;eor
       4280;2023072910;    3;  18.3;  90.0;eor
       4280;2023072911;    3;  20.4;  81.0;eor
       4280;2023072912;    3;  21.5;  75.0;eor
       4280;2023072913;    3;  22.0;  72.0;eor
       4280;2023072914;    3;  23.0;  63.0;eor
       4280;2023072915;    3;  24.0;  54.0;eor
       4280;2023072916;    3;  24.0;  54.0;eor
       4280;2023072917;    3;  24.7;  51.0;eor
       4280;2023072918;    3;  24.1;  52.0;eor
       4280;2023072919;    3;  21.8;  59.0;eor
       4280;2023072920;    3;  19.2;  72.0;eor
       4280;2023072921;    3;  17.5;  81.0;eor
       4280;2023072922;    3;  17.3;  88.0;eor
       4280;2023072923;    3;  17.0;  91.0;eor
       4280;2023073000;    3;  16.9;  93.0;eor
       4280;2023073001;    3;  17.4;  92.0;eor
       4280;2023073002;    3;  17.3;  95.0;eor
       4280;2023073003;    3;  16.7;  95.0;eor
       4280;2023073004;    3;  16.2;  93.0;eor
       4280;2023073005;    3;  16.2;  93.0;eor
       4280;2023073006;    3;  16.8;  91.0;eor
       4280;2023073007;    3;  18.2;  85.0;eor
       4280;2023073008;    3;  18.7;  82.0;eor
       4280;2023073009;    3;  19.2;  84.0;eor
       4280;2023073010;    3;  20.1;  74.0;eor
       4280;2023073011;    3;  17.9;  87.0;eor
       4280;2023073012;    3;  21.1;  75.0;eor
       4280;2023073013;    3;  20.9;  61.0;eor
       4280;2023073014;    3;  22.4;  50.0;eor
       4280;2023073015;    3;  21.8;  48.0;eor
       4280;2023073016;    3;  22.4;  45.0;eor
       4280;2023073017;    3;  21.4;  47.0;eor
       4280;2023073018;    3;  19.8;  52.0;eor
       4280;2023073019;    3;  18.5;  57.0;eor
       4280;2023073020;    3;  17.3;  60.0;eor
       4280;2023073021;    3;  16.6;  63.0;eor
       4280;2023073022;    3;  15.4;  68.0;eor
       4280;2023073023;    3;  15.0;  70.0;eor
       4280;2023073100;    3;  14.6;  72.0;eor
       4280;2023073101;    3;  14.2;  72.0;eor
