DATUM,QN_8,P,P0
2024-10-28 00:00:00,    3, 1027.3,  980.1
2024-10-28 01:00:00,    3, 1027.3,  988.8
2024-10-28 02:00:00,    3, 1027.6,  980.2
2024-10-28 03:00:00,3,1027.6,979.9
2024-10-28 04:00:00,3,1027.0,988.6
2024-10-28 05:00:00,    3, 1027.1,  988.6
2024-10-28 06:00:00,    3, 1027.2,  988.7
2024-10-28 07:00:00,3,1027.5,989.0
2024-10-28 08:00:00,    3, 1027.8,  989.6
2024-10-28 09:00:00,    3, 1027.9,  981.2
2024-10-28 10:00:00,    3, 1027.4,  981.1
2024-10-28 11:00:00,3,1026.4,980.6
2024-10-28 12:00:00,3,1025.7,980.2
2024-10-28 13:00:00,    3, 1025.0,  979.6
2024-10-28 14:00:00,    3, 1024.5,  979.2
2024-10-28 15:00:00,    3, 1024.5,  979.1
2024-10-28 16:00:00,    3, 1025.0,  987.8
2024-10-28 17:00:00,    3, 1025.4,  988.0
2024-10-28 18:00:00,    3, 1025.6,  988.2
2024-10-28 19:00:00,    3, 1026.2,  988.6
2024-10-28 20:00:00,    3, 1026.6,  988.8
2024-10-28 21:00:00,    3, 1026.8,  988.9
2024-10-28 22:00:00,    3, 1026.8,  988.8
2024-10-28 23:00:00,    3, 1027.3,  980.4
2024-10-29 00:00:00,    3, 1027.6,  980.4
2024-10-29 01:00:00,3,1027.7,980.4
2024-10-29 02:00:00,3,1026.9,988.7
2024-10-29 03:00:00,    3, 1027.6,  980.2
2024-10-29 04:00:00,    3, 1028.0,  980.5
2024-10-29 05:00:00,    3, 1028.1,  980.5
2024-10-29 06:00:00,    3, 1028.3,  980.7
2024-10-29 07:00:00,    3, 1028.0,  989.6
2024-10-29 08:00:00,3,1028.1,989.9
2024-10-29 09:00:00,    3, 1028.0,  990.0
2024-10-29 10:00:00,3,1027.5,989.8
2024-10-29 11:00:00,    3, 1026.9,  989.5
2024-10-29 12:00:00,3,1025.8,980.2
2024-10-29 13:00:00,    3, 1025.1,  979.6
2024-10-29 14:00:00,3,1025.0,979.5
2024-10-29 15:00:00,3,1024.8,979.3
2024-10-29 16:00:00,    3, 1025.3,  988.0
2024-10-29 17:00:00,    3, 1025.9,  988.3
2024-10-29 18:00:00,    3, 1026.2,  988.5
2024-10-29 19:00:00,    3, 1026.9,  980.2
2024-10-29 20:00:00,3,1026.6,988.8
2024-10-29 21:00:00,3,1027.3,980.3
2024-10-29 22:00:00,3,1027.3,980.4
2024-10-29 23:00:00,3,1026.8,988.8
2024-10-30 00:00:00,    3, 1027.1,  980.0
2024-10-30 01:00:00,    3, 1027.1,  988.9
2024-10-30 02:00:00,    3, 1027.0,  988.7
2024-10-30 03:00:00,    3, 1027.4,  989.0
2024-10-30 04:00:00,    3, 1027.6,  989.2
2024-10-30 05:00:00,    3, 1028.1,  980.6
2024-10-30 06:00:00,    3, 1027.9,  989.4
2024-10-30 07:00:00,    3, 1028.7,  981.1
2024-10-30 08:00:00,    3, 1028.5,  981.3
2024-10-30 09:00:00,    3, 1028.1,  990.0
2024-10-30 10:00:00,    3, 1027.8,  981.3
2024-10-30 11:00:00,3,1027.6,981.4
2024-10-30 12:00:00,    3, 1027.0,  989.5
2024-10-30 13:00:00,3,1026.2,980.4
2024-10-30 14:00:00,3,1026.7,989.1
2024-10-30 15:00:00,    3, 1026.8,  989.1
2024-10-30 16:00:00,3,1026.4,980.1
2024-10-30 17:00:00,    3, 1027.6,  989.5
2024-10-30 18:00:00,    3, 1027.9,  989.7
2024-10-30 19:00:00,    3, 1028.2,  989.9
2024-10-30 20:00:00,    3, 1028.2,  981.2
2024-10-30 21:00:00,    3, 1028.4,  981.4
2024-10-30 22:00:00,    3, 1028.8,  990.4
2024-10-30 23:00:00,    3, 1028.6,  990.2
2024-10-31 00:00:00,    3, 1028.4,  990.0
2024-10-31 01:00:00,    3, 1028.6,  990.3
2024-10-31 02:00:00,3,1028.5,981.4
2024-10-31 03:00:00,    3, 1028.5,  990.1
2024-10-31 04:00:00,    3, 1028.5,  981.3
2024-10-31 05:00:00,    3, 1028.6,  990.2
2024-10-31 06:00:00,3,1028.8,990.3
2024-10-31 07:00:00,    3, 1029.1,  981.9
2024-10-31 08:00:00,3,1029.5,991.0
2024-10-31 09:00:00,3,1029.4,982.2
2024-10-31 10:00:00,    3, 1029.3,  982.2
2024-10-31 11:00:00,    3, 1028.7,  981.8
2024-10-31 12:00:00,    3, 1028.6,  981.7
2024-10-31 13:00:00,3,1027.8,981.0
2024-10-31 14:00:00,    3, 1027.7,  989.5
2024-10-31 15:00:00,    3, 1027.3,  989.2
2024-10-31 16:00:00,    3, 1027.4,  989.3
2024-10-31 17:00:00,    3, 1027.4,  980.7
2024-10-31 18:00:00,    3, 1027.6,  989.5
2024-10-31 19:00:00,    3, 1027.4,  989.3
2024-10-31 20:00:00,    3, 1027.3,  980.4
2024-10-31 21:00:00,3,1027.3,980.4
2024-10-31 22:00:00,3,1027.2,980.3
2024-10-31 23:00:00,    3, 1027.0,  988.8
2024-11-01 00:00:00,    3, 1026.6,  979.7
2024-11-01 01:00:00,    3, 1026.4,  979.4
2024-11-01 02:00:00,    3, 1026.3,  979.3
2024-11-01 03:00:00,    3, 1026.3,  979.2
2024-11-01 04:00:00,    3, 1026.2,  987.9
2024-11-01 05:00:00,    3, 1026.2,  987.8
2024-11-01 06:00:00,    3, 1026.2,  987.8
2024-11-01 07:00:00,3,1026.6,979.2
2024-11-01 08:00:00,3,1026.7,988.2
2024-11-01 09:00:00,    3, 1026.6,  979.4
2024-11-01 10:00:00,3,1026.1,979.2
2024-11-01 11:00:00,    3, 1026.2,  987.9
2024-11-01 12:00:00,3,1025.4,987.3
2024-11-01 13:00:00,3,1025.0,986.9
2024-11-01 14:00:00,3,1024.5,986.5
2024-11-01 15:00:00,    3, 1024.6,  986.5
2024-11-01 16:00:00,    3, 1024.5,  986.3
2024-11-01 17:00:00,    3, 1025.1,  986.7
2024-11-01 18:00:00,3,1025.6,978.4
2024-11-01 19:00:00,    3, 1026.2,  979.1
2024-11-01 20:00:00,    3, 1026.4,  979.3
2024-11-01 21:00:00,3,1027.0,988.6
2024-11-01 22:00:00,3,1027.1,988.7
2024-11-01 23:00:00,    3, 1027.4,  988.9
2024-11-02 00:00:00,    3, 1027.5,  989.0
2024-11-02 01:00:00,    3, 1027.6,  980.4
2024-11-02 02:00:00,    3, 1028.0,  989.4
2024-11-02 03:00:00,    3, 1027.9,  989.4
2024-11-02 04:00:00,    3, 1028.2,  989.6
2024-11-02 05:00:00,    3, 1028.5,  989.9
2024-11-02 06:00:00,    3, 1028.5,  981.1
2024-11-02 07:00:00,3,1029.5,990.8
