column,total,missing,completeness,min,max,mean,zeros,negatives
QN_592,26304,0,100.0,1.0,1.0,1.0,0.0,0.0
ATMO_LBERG,26304,0,100.0,-999.0,159.0,63.407314476885645,0.0,1263.0
FD_LBERG,26304,0,100.0,-999.0,196.0,6.931531326034063,12567.0,394.0
FG_LBERG,26304,0,100.0,-999.0,351.0,32.000836374695865,12550.0,394.0
SD_LBERG,26304,0,100.0,-999.0,60.0,-2.2075349756690996,17332.0,394.0
ZENIT,26304,0,100.0,26.07,153.93,89.68021783759123,0.0,0.0
MESS_DATUM_WOZ,26304,0,100.0,,,,,
QN_2,26304,15984,39.23357664233576,3.0,3.0,3.0,0.0,0.0
V_TE002,26304,15984,39.23357664233576,-999.0,-999.0,-999.0,0.0,10320.0
V_TE005,26304,15984,39.23357664233576,-4.2,40.1,10.998459302325582,120.0,500.0
V_TE010,26304,15984,39.23357664233576,-1.9,35.0,11.086666666666666,93.0,155.0
V_TE020,26304,15984,39.23357664233576,0.2,30.1,11.114447674418603,0.0,0.0
V_TE050,26304,15984,39.23357664233576,2.3,24.6,11.46360465116279,0.0,0.0
V_TE100,26304,15984,39.23357664233576,4.9,21.1,11.882693798449612,0.0,0.0
QN_8,26304,15984,39.23357664233576,3.0,3.0,3.0,0.0,0.0
P,26304,15984,39.23357664233576,-999.0,1043.4,1018.3857558139534,0.0,1.0
P0,26304,15984,39.23357664233576,-999.0,1002.5,976.1154360465117,0.0,1.0
QN_8_y,26304,15984,39.23357664233576,3.0,3.0,3.0,0.0,0.0
ABSF_STD,26304,15984,39.23357664233576,2.0,16.6,7.278488372093023,0.0,0.0
VP_STD,26304,15984,39.23357664233576,2.5,22.7,9.608749999999999,0.0,0.0
TF_STD,26304,15984,39.23357664233576,-10.1,22.9,7.556356589147286,48.0,1339.0
P_STD,26304,15984,39.23357664233576,944.2,1002.5,976.3716666666668,0.0,0.0
TT_STD,26304,15984,39.23357664233576,-10.0,35.8,10.102170542635658,29.0,991.0
RF_STD,26304,15984,39.23357664233576,20.3,100.0,75.03263565891473,0.0,0.0
TD_STD,26304,15984,39.23357664233576,-11.9,19.5,5.288837209302326,49.0,2246.0
QN_9,26304,15984,39.23357664233576,3.0,3.0,3.0,0.0,0.0
TT_TU,26304,15984,39.23357664233576,-10.0,35.8,10.07656007751938,40.0,988.0
RF_TU,26304,15984,39.23357664233576,20.0,100.0,75.07209302325582,0.0,0.0
QN_7,26304,18567,29.41377737226277,10.0,10.0,10.0,0.0,0.0
SD_SO,26304,18567,29.41377737226277,0.0,60.0,17.23148507173323,4441.0,0.0
