STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;EOR
       4928;2024102800;    3;  -999;   9.4;  10.7;  12.3;  13.6;  14.8;eor
       4928;2024102801;    3;  -999;   9.1;  10.4;  12.1;  13.6;  14.8;eor
       4928;2024102802;    3;  -999;   9.0;  10.1;  11.9;  13.6;  14.8;eor
       4928;2024102803;    3;  -999;   9.0;  10.0;  11.7;  13.6;  14.8;eor
       4928;2024102804;    3;  -999;   9.0;  10.0;  11.6;  13.6;  14.7;eor
       4928;2024102805;    3;  -999;   8.7;   9.8;  11.4;  13.6;  14.7;eor
       4928;2024102806;    3;  -999;   8.6;   9.6;  11.3;  13.6;  14.7;eor
       4928;2024102807;    3;  -999;   8.8;   9.6;  11.2;  13.6;  14.7;eor
       4928;2024102808;    3;  -999;  10.0;   9.9;  11.1;  13.5;  14.7;eor
       4928;2024102809;    3;  -999;  11.7;  10.8;  11.1;  13.5;  14.7;eor
       4928;2024102810;    3;  -999;  14.3;  11.8;  11.3;  13.5;  14.7;eor
       4928;2024102811;    3;  -999;  15.2;  13.0;  11.6;  13.4;  14.7;eor
       4928;2024102812;    3;  -999;  17.0;  14.0;  12.0;  13.4;  14.7;eor
       4928;2024102813;    3;  -999;  18.9;  15.5;  12.4;  13.4;  14.7;eor
       4928;2024102814;    3;  -999;  19.1;  16.4;  13.0;  13.4;  14.7;eor
       4928;2024102815;    3;  -999;  18.2;  16.5;  13.6;  13.3;  14.7;eor
       4928;2024102816;    3;  -999;  16.6;  16.1;  13.9;  13.3;  14.7;eor
       4928;2024102817;    3;  -999;  14.8;  15.3;  14.1;  13.3;  14.7;eor
       4928;2024102818;    3;  -999;  13.7;  14.4;  14.1;  13.4;  14.7;eor
       4928;2024102819;    3;  -999;  12.8;  13.7;  14.0;  13.4;  14.7;eor
       4928;2024102820;    3;  -999;  12.1;  13.2;  13.8;  13.4;  14.7;eor
       4928;2024102821;    3;  -999;  11.5;  12.7;  13.6;  13.5;  14.7;eor
       4928;2024102822;    3;  -999;  11.2;  12.3;  13.3;  13.5;  14.7;eor
       4928;2024102823;    3;  -999;  10.9;  11.9;  13.1;  13.6;  14.7;eor
       4928;2024102900;    3;  -999;  10.7;  11.7;  12.9;  13.6;  14.7;eor
       4928;2024102901;    3;  -999;  10.6;  11.5;  12.7;  13.6;  14.7;eor
       4928;2024102902;    3;  -999;  10.5;  11.3;  12.6;  13.6;  14.7;eor
       4928;2024102903;    3;  -999;  10.1;  11.1;  12.4;  13.6;  14.6;eor
       4928;2024102904;    3;  -999;   9.9;  10.9;  12.3;  13.6;  14.6;eor
       4928;2024102905;    3;  -999;   9.7;  10.7;  12.1;  13.6;  14.6;eor
       4928;2024102906;    3;  -999;   9.5;  10.5;  12.0;  13.6;  14.6;eor
       4928;2024102907;    3;  -999;   9.5;  10.4;  11.8;  13.6;  14.6;eor
       4928;2024102908;    3;  -999;  10.8;  10.7;  11.7;  13.6;  14.6;eor
       4928;2024102909;    3;  -999;  12.5;  11.4;  11.7;  13.6;  14.6;eor
       4928;2024102910;    3;  -999;  14.8;  12.5;  11.8;  13.6;  14.6;eor
       4928;2024102911;    3;  -999;  17.0;  14.0;  12.1;  13.6;  14.6;eor
       4928;2024102912;    3;  -999;  18.7;  15.3;  12.6;  13.5;  14.6;eor
       4928;2024102913;    3;  -999;  19.6;  16.5;  13.2;  13.5;  14.6;eor
       4928;2024102914;    3;  -999;  19.4;  17.0;  13.7;  13.5;  14.6;eor
       4928;2024102915;    3;  -999;  18.3;  16.9;  14.2;  13.5;  14.6;eor
       4928;2024102916;    3;  -999;  16.5;  16.3;  14.4;  13.5;  14.6;eor
       4928;2024102917;    3;  -999;  14.8;  15.4;  14.5;  13.5;  14.6;eor
       4928;2024102918;    3;  -999;  13.7;  14.6;  14.4;  13.5;  14.6;eor
       4928;2024102919;    3;  -999;  12.8;  13.9;  14.3;  13.6;  14.6;eor
       4928;2024102920;    3;  -999;  12.1;  13.3;  14.0;  13.6;  14.6;eor
       4928;2024102921;    3;  -999;  11.8;  12.8;  13.8;  13.6;  14.6;eor
       4928;2024102922;    3;  -999;  11.5;  12.5;  13.5;  13.7;  14.6;eor
       4928;2024102923;    3;  -999;  11.2;  12.2;  13.3;  13.7;  14.6;eor
       4928;2024103000;    3;  -999;  11.0;  12.0;  13.1;  13.7;  14.6;eor
       4928;2024103001;    3;  -999;  10.7;  11.7;  13.0;  13.8;  14.6;eor
       4928;2024103002;    3;  -999;  10.3;  11.4;  12.8;  13.8;  14.6;eor
       4928;2024103003;    3;  -999;  10.2;  11.2;  12.6;  13.8;  14.6;eor
       4928;2024103004;    3;  -999;  10.4;  11.1;  12.5;  13.8;  14.6;eor
       4928;2024103005;    3;  -999;  10.1;  11.0;  12.3;  13.8;  14.6;eor
       4928;2024103006;    3;  -999;   9.7;  10.8;  12.2;  13.8;  14.6;eor
       4928;2024103007;    3;  -999;   9.8;  10.6;  12.1;  13.8;  14.6;eor
       4928;2024103008;    3;  -999;  10.6;  10.7;  11.9;  13.8;  14.6;eor
       4928;2024103009;    3;  -999;  11.8;  11.2;  11.9;  13.7;  14.6;eor
       4928;2024103010;    3;  -999;  14.8;  12.4;  12.0;  13.7;  14.6;eor
       4928;2024103011;    3;  -999;  17.2;  14.1;  12.2;  13.7;  14.6;eor
       4928;2024103012;    3;  -999;  17.7;  15.1;  12.7;  13.6;  14.6;eor
       4928;2024103013;    3;  -999;  18.2;  15.9;  13.2;  13.6;  14.6;eor
       4928;2024103014;    3;  -999;  18.2;  16.2;  13.7;  13.6;  14.6;eor
       4928;2024103015;    3;  -999;  17.0;  16.1;  14.0;  13.6;  14.6;eor
       4928;2024103016;    3;  -999;  15.0;  15.4;  14.2;  13.6;  14.6;eor
       4928;2024103017;    3;  -999;  13.2;  14.4;  14.2;  13.6;  14.6;eor
       4928;2024103018;    3;  -999;  12.1;  13.5;  14.0;  13.6;  14.6;eor
       4928;2024103019;    3;  -999;  11.4;  12.7;  13.8;  13.7;  14.6;eor
       4928;2024103020;    3;  -999;  11.6;  12.4;  13.5;  13.7;  14.6;eor
       4928;2024103021;    3;  -999;  11.7;  12.3;  13.3;  13.7;  14.6;eor
       4928;2024103022;    3;  -999;  11.6;  12.2;  13.1;  13.7;  14.6;eor
       4928;2024103023;    3;  -999;  11.5;  12.1;  13.0;  13.8;  14.6;eor
       4928;2024103100;    3;  -999;  11.5;  12.1;  12.9;  13.8;  14.6;eor
       4928;2024103101;    3;  -999;  11.5;  12.0;  12.8;  13.8;  14.6;eor
       4928;2024103102;    3;  -999;  11.6;  12.0;  12.7;  13.8;  14.6;eor
       4928;2024103103;    3;  -999;  11.5;  12.0;  12.7;  13.8;  14.6;eor
       4928;2024103104;    3;  -999;  11.3;  11.9;  12.6;  13.8;  14.6;eor
       4928;2024103105;    3;  -999;  11.2;  11.8;  12.6;  13.8;  14.6;eor
       4928;2024103106;    3;  -999;  11.0;  11.6;  12.5;  13.7;  14.6;eor
       4928;2024103107;    3;  -999;  10.9;  11.5;  12.4;  13.7;  14.6;eor
       4928;2024103108;    3;  -999;  11.0;  11.5;  12.4;  13.7;  14.6;eor
       4928;2024103109;    3;  -999;  11.3;  11.5;  12.3;  13.7;  14.6;eor
       4928;2024103110;    3;  -999;  11.6;  11.7;  12.3;  13.7;  14.6;eor
       4928;2024103111;    3;  -999;  12.1;  11.9;  12.3;  13.7;  14.6;eor
       4928;2024103112;    3;  -999;  12.4;  12.1;  12.3;  13.7;  14.6;eor
       4928;2024103113;    3;  -999;  12.6;  12.4;  12.4;  13.7;  14.6;eor
       4928;2024103114;    3;  -999;  12.7;  12.5;  12.5;  13.6;  14.6;eor
       4928;2024103115;    3;  -999;  12.6;  12.5;  12.5;  13.6;  14.6;eor
       4928;2024103116;    3;  -999;  12.3;  12.5;  12.6;  13.6;  14.5;eor
       4928;2024103117;    3;  -999;  12.1;  12.4;  12.6;  13.6;  14.5;eor
       4928;2024103118;    3;  -999;  11.9;  12.2;  12.6;  13.6;  14.5;eor
       4928;2024103119;    3;  -999;  11.8;  12.1;  12.6;  13.6;  14.5;eor
       4928;2024103120;    3;  -999;  11.7;  12.0;  12.5;  13.6;  14.5;eor
       4928;2024103121;    3;  -999;  11.6;  12.0;  12.5;  13.6;  14.5;eor
       4928;2024103122;    3;  -999;  11.5;  11.9;  12.5;  13.6;  14.5;eor
       4928;2024103123;    3;  -999;  11.4;  11.8;  12.4;  13.6;  14.5;eor
       4928;2024110100;    3;  -999;  11.3;  11.7;  12.4;  13.6;  14.5;eor
       4928;2024110101;    3;  -999;  11.2;  11.6;  12.3;  13.6;  14.5;eor
       4928;2024110102;    3;  -999;  11.1;  11.6;  12.3;  13.5;  14.5;eor
       4928;2024110103;    3;  -999;  11.0;  11.5;  12.2;  13.5;  14.5;eor
       4928;2024110104;    3;  -999;  10.9;  11.4;  12.2;  13.5;  14.5;eor
       4928;2024110105;    3;  -999;  10.8;  11.3;  12.1;  13.5;  14.5;eor
       4928;2024110106;    3;  -999;  10.5;  11.2;  12.1;  13.5;  14.5;eor
       4928;2024110107;    3;  -999;  10.4;  11.0;  12.0;  13.5;  14.5;eor
       4928;2024110108;    3;  -999;  10.5;  11.0;  11.9;  13.5;  14.5;eor
       4928;2024110109;    3;  -999;  10.8;  11.0;  11.9;  13.5;  14.5;eor
       4928;2024110110;    3;  -999;  11.3;  11.2;  11.8;  13.5;  14.5;eor
       4928;2024110111;    3;  -999;  12.2;  11.6;  11.8;  13.4;  14.5;eor
       4928;2024110112;    3;  -999;  14.9;  12.6;  12.0;  13.4;  14.5;eor
       4928;2024110113;    3;  -999;  15.7;  13.7;  12.2;  13.4;  14.5;eor
       4928;2024110114;    3;  -999;  15.9;  14.3;  12.6;  13.4;  14.5;eor
       4928;2024110115;    3;  -999;  14.8;  14.2;  12.9;  13.4;  14.5;eor
       4928;2024110116;    3;  -999;  13.0;  13.6;  13.0;  13.4;  14.5;eor
       4928;2024110117;    3;  -999;  11.2;  12.6;  13.0;  13.4;  14.5;eor
       4928;2024110118;    3;  -999;  10.9;  11.9;  12.8;  13.4;  14.5;eor
       4928;2024110119;    3;  -999;  11.0;  11.7;  12.6;  13.4;  14.5;eor
       4928;2024110120;    3;  -999;  10.9;  11.5;  12.5;  13.4;  14.5;eor
       4928;2024110121;    3;  -999;  10.8;  11.4;  12.3;  13.4;  14.5;eor
       4928;2024110122;    3;  -999;  10.7;  11.3;  12.2;  13.4;  14.5;eor
       4928;2024110123;    3;  -999;  10.6;  11.2;  12.1;  13.4;  14.5;eor
       4928;2024110200;    3;  -999;  10.4;  11.1;  12.1;  13.4;  14.5;eor
       4928;2024110201;    3;  -999;  10.2;  11.0;  12.0;  13.4;  14.5;eor
