STATIONS_ID;MESS_DATUM;QN_8;ABSF_STD;VP_STD;TF_STD;P_STD;TT_STD;RF_STD;TD_STD;EOR
       4928;2024102800;    3;   9.0;  11.7;   9.3;  988.8;   9.3; 100.0;   9.3;eor
       4928;2024102801;    3;   8.5;  11.1;   8.5;  988.8;   8.6;  99.3;   8.5;eor
       4928;2024102802;    3;   8.9;  11.6;   9.1;  988.7;   9.2;  99.3;   9.1;eor
       4928;2024102803;    3;   8.9;  11.6;   9.2;  988.4;   9.2; 100.0;   9.2;eor
       4928;2024102804;    3;   8.9;  11.6;   9.1;  988.6;   9.1; 100.0;   9.1;eor
       4928;2024102805;    3;   8.6;  11.2;   8.6;  988.6;   8.6; 100.0;   8.6;eor
       4928;2024102806;    3;   8.5;  11.1;   8.5;  988.7;   8.5; 100.0;   8.5;eor
       4928;2024102807;    3;   8.7;  11.3;   8.8;  989.0;   8.8; 100.0;   8.8;eor
       4928;2024102808;    3;   9.2;  12.0;  10.1;  989.6;  10.6;  94.1;   9.7;eor
       4928;2024102809;    3;   9.3;  12.2;  10.7;  989.8;  11.7;  88.7;   9.9;eor
       4928;2024102810;    3;   9.6;  12.8;  12.2;  989.6;  14.3;  78.4;  10.6;eor
       4928;2024102811;    3;  10.1;  13.5;  13.3;  989.3;  16.0;  74.1;  11.4;eor
       4928;2024102812;    3;  10.4;  14.0;  14.6;  988.7;  18.4;  66.3;  12.0;eor
       4928;2024102813;    3;  10.0;  13.5;  14.6;  988.2;  19.4;  59.8;  11.4;eor
       4928;2024102814;    3;  10.3;  14.0;  15.1;  987.9;  20.0;  59.6;  11.9;eor
       4928;2024102815;    3;  10.5;  14.1;  14.9;  987.8;  19.1;  63.8;  12.1;eor
       4928;2024102816;    3;  10.3;  13.9;  14.1;  987.8;  17.6;  68.8;  11.8;eor
       4928;2024102817;    3;  10.8;  14.4;  14.0;  988.0;  16.4;  77.2;  12.4;eor
       4928;2024102818;    3;  10.9;  14.5;  13.9;  988.2;  16.0;  79.7;  12.5;eor
       4928;2024102819;    3;  10.8;  14.3;  13.3;  988.6;  14.7;  85.5;  12.3;eor
       4928;2024102820;    3;  10.8;  14.2;  12.7;  988.8;  13.3;  93.0;  12.2;eor
       4928;2024102821;    3;  10.5;  13.9;  12.1;  988.9;  12.5;  95.5;  11.8;eor
       4928;2024102822;    3;  10.3;  13.5;  11.6;  988.8;  11.8;  97.4;  11.4;eor
       4928;2024102823;    3;  10.1;  13.2;  11.3;  988.8;  11.7;  96.1;  11.1;eor
       4928;2024102900;    3;   9.9;  13.0;  11.0;  988.8;  11.3;  96.7;  10.8;eor
       4928;2024102901;    3;   9.6;  12.6;  10.5;  988.9;  10.7;  98.0;  10.4;eor
       4928;2024102902;    3;   9.3;  12.2;  10.1;  988.7;  10.3;  97.4;   9.9;eor
       4928;2024102903;    3;   9.2;  12.0;   9.9;  988.7;  10.2;  96.7;   9.7;eor
       4928;2024102904;    3;   9.0;  11.8;   9.7;  988.9;  10.0;  96.0;   9.4;eor
       4928;2024102905;    3;   8.9;  11.6;   9.3;  989.1;   9.6;  96.7;   9.1;eor
       4928;2024102906;    3;   8.7;  11.3;   9.1;  989.3;   9.4;  96.0;   8.8;eor
       4928;2024102907;    3;   8.8;  11.5;   9.4;  989.6;   9.8;  94.7;   9.0;eor
       4928;2024102908;    3;   8.8;  11.5;   9.8;  989.9;  10.7;  89.2;   9.0;eor
       4928;2024102909;    3;   9.1;  12.0;  11.1;  990.0;  12.8;  81.4;   9.7;eor
       4928;2024102910;    3;   9.2;  12.3;  12.0;  989.8;  14.7;  73.4;  10.0;eor
       4928;2024102911;    3;   9.7;  13.1;  13.3;  989.5;  16.8;  68.1;  10.9;eor
       4928;2024102912;    3;   9.6;  12.9;  13.6;  988.9;  17.7;  63.5;  10.7;eor
       4928;2024102913;    3;  10.0;  13.4;  14.2;  988.4;  18.5;  62.9;  11.3;eor
       4928;2024102914;    3;  10.6;  14.3;  14.8;  988.3;  18.6;  66.7;  12.3;eor
       4928;2024102915;    3;  10.6;  14.3;  14.7;  988.0;  18.3;  68.0;  12.3;eor
       4928;2024102916;    3;  10.3;  13.9;  13.9;  988.0;  16.9;  71.9;  11.8;eor
       4928;2024102917;    3;  10.3;  13.7;  13.0;  988.3;  15.0;  80.1;  11.6;eor
       4928;2024102918;    3;   9.9;  13.1;  12.5;  988.5;  14.5;  79.5;  11.0;eor
       4928;2024102919;    3;  10.0;  13.2;  12.3;  988.7;  14.0;  82.6;  11.1;eor
       4928;2024102920;    3;  10.1;  13.4;  12.3;  988.8;  13.8;  84.9;  11.3;eor
       4928;2024102921;    3;  10.1;  13.3;  11.9;  989.0;  12.9;  89.4;  11.2;eor
       4928;2024102922;    3;   9.8;  12.9;  11.3;  989.0;  12.1;  91.1;  10.7;eor
       4928;2024102923;    3;   9.7;  12.8;  11.1;  988.8;  11.7;  93.0;  10.6;eor
       4928;2024103000;    3;   9.8;  12.9;  11.0;  988.8;  11.3;  96.1;  10.7;eor
       4928;2024103001;    3;   9.6;  12.5;  10.5;  988.9;  10.7;  97.4;  10.3;eor
       4928;2024103002;    3;   9.3;  12.1;   9.9;  988.7;  10.0;  98.7;   9.8;eor
       4928;2024103003;    3;   8.9;  11.6;   9.2;  989.0;   9.2; 100.0;   9.2;eor
       4928;2024103004;    3;   9.0;  11.8;   9.4;  989.2;   9.4; 100.0;   9.4;eor
       4928;2024103005;    3;   8.8;  11.5;   9.0;  989.4;   9.1;  99.3;   9.0;eor
       4928;2024103006;    3;   8.4;  11.0;   8.4;  989.4;   8.6;  98.0;   8.3;eor
       4928;2024103007;    3;   8.7;  11.3;   8.9;  989.8;   9.1;  98.0;   8.8;eor
       4928;2024103008;    3;   8.8;  11.6;   9.6;  990.0;  10.2;  92.9;   9.1;eor
       4928;2024103009;    3;   9.1;  12.0;  10.7;  990.0;  12.0;  85.2;   9.6;eor
       4928;2024103010;    3;   9.2;  12.2;  11.9;  990.2;  14.5;  73.8;   9.9;eor
       4928;2024103011;    3;   9.9;  13.1;  12.8;  990.2;  15.3;  75.5;  11.0;eor
       4928;2024103012;    3;   9.9;  13.2;  13.1;  989.5;  15.8;  73.6;  11.1;eor
       4928;2024103013;    3;   9.5;  12.7;  12.6;  989.3;  15.5;  72.1;  10.5;eor
       4928;2024103014;    3;   9.6;  12.8;  12.6;  989.1;  15.4;  73.0;  10.6;eor
       4928;2024103015;    3;   9.4;  12.5;  12.0;  989.1;  14.5;  75.3;  10.2;eor
       4928;2024103016;    3;   9.4;  12.5;  11.1;  989.1;  12.3;  87.0;  10.2;eor
       4928;2024103017;    3;   9.5;  12.5;  10.6;  989.5;  11.2;  93.5;  10.2;eor
       4928;2024103018;    3;   9.5;  12.5;  10.5;  989.7;  10.8;  96.1;  10.2;eor
       4928;2024103019;    3;   9.5;  12.4;  10.2;  989.9;  10.3;  98.7;  10.1;eor
       4928;2024103020;    3;   9.4;  12.3;  10.0;  990.2;  10.0; 100.0;  10.0;eor
       4928;2024103021;    3;   9.3;  12.1;   9.8;  990.4;   9.8; 100.0;   9.8;eor
       4928;2024103022;    3;   9.2;  12.0;   9.7;  990.4;   9.7; 100.0;   9.7;eor
       4928;2024103023;    3;   9.3;  12.1;   9.8;  990.2;   9.8; 100.0;   9.8;eor
       4928;2024103100;    3;   9.3;  12.1;   9.8;  990.0;   9.9;  99.3;   9.8;eor
       4928;2024103101;    3;   9.5;  12.4;  10.1;  990.3;  10.1; 100.0;  10.1;eor
       4928;2024103102;    3;   9.4;  12.3;  10.0;  990.2;  10.0; 100.0;  10.0;eor
       4928;2024103103;    3;   9.2;  12.0;   9.7;  990.1;   9.8;  98.7;   9.6;eor
