STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;EOR
       4928;2024102800;    3;   9.3; 100.0;eor
       4928;2024102801;    3;   8.6; 100.0;eor
       4928;2024102802;    3;   9.2; 100.0;eor
       4928;2024102803;    3;   9.2; 100.0;eor
       4928;2024102804;    3;   9.1; 100.0;eor
       4928;2024102805;    3;   8.6; 100.0;eor
       4928;2024102806;    3;   8.5; 100.0;eor
       4928;2024102807;    3;   8.8; 100.0;eor
       4928;2024102808;    3;  10.6;  94.0;eor
       4928;2024102809;    3;  11.7;  89.0;eor
       4928;2024102810;    3;  14.3;  78.0;eor
       4928;2024102811;    3;  16.0;  74.0;eor
       4928;2024102812;    3;  18.4;  66.0;eor
       4928;2024102813;    3;  19.4;  60.0;eor
       4928;2024102814;    3;  20.0;  60.0;eor
       4928;2024102815;    3;  19.1;  64.0;eor
       4928;2024102816;    3;  17.6;  69.0;eor
       4928;2024102817;    3;  16.4;  77.0;eor
       4928;2024102818;    3;  16.0;  80.0;eor
       4928;2024102819;    3;  14.7;  86.0;eor
       4928;2024102820;    3;  13.3;  93.0;eor
       4928;2024102821;    3;  12.5;  95.0;eor
       4928;2024102822;    3;  11.8;  97.0;eor
       4928;2024102823;    3;  11.7;  96.0;eor
       4928;2024102900;    3;  11.3;  97.0;eor
       4928;2024102901;    3;  10.7;  98.0;eor
       4928;2024102902;    3;  10.3;  97.0;eor
       4928;2024102903;    3;  10.2;  96.0;eor
       4928;2024102904;    3;  10.0;  96.0;eor
       4928;2024102905;    3;   9.6;  97.0;eor
       4928;2024102906;    3;   9.4;  96.0;eor
       4928;2024102907;    3;   9.8;  94.0;eor
       4928;2024102908;    3;  10.7;  89.0;eor
       4928;2024102909;    3;  12.8;  81.0;eor
       4928;2024102910;    3;  14.7;  73.0;eor
       4928;2024102911;    3;  16.8;  68.0;eor
       4928;2024102912;    3;  17.7;  64.0;eor
       4928;2024102913;    3;  18.5;  63.0;eor
       4928;2024102914;    3;  18.6;  67.0;eor
       4928;2024102915;    3;  18.3;  68.0;eor
       4928;2024102916;    3;  16.9;  72.0;eor
       4928;2024102917;    3;  15.0;  80.0;eor
       4928;2024102918;    3;  14.5;  79.0;eor
       4928;2024102919;    3;  14.0;  82.0;eor
       4928;2024102920;    3;  13.8;  85.0;eor
       4928;2024102921;    3;  12.9;  89.0;eor
       4928;2024102922;    3;  12.1;  91.0;eor
       4928;2024102923;    3;  11.7;  93.0;eor
       4928;2024103000;    3;  11.3;  96.0;eor
       4928;2024103001;    3;  10.7;  97.0;eor
       4928;2024103002;    3;  10.0;  99.0;eor
       4928;2024103003;    3;   9.2; 100.0;eor
       4928;2024103004;    3;   9.4; 100.0;eor
       4928;2024103005;    3;   9.1;  99.0;eor
