STATIONS_ID;MESS_DATUM;QN_7;SD_SO;EOR
       4928;2024102803;   10;  0.00;eor
       4928;2024102804;   10;  0.00;eor
       4928;2024102805;   10;  0.00;eor
       4928;2024102806;   10;  0.00;eor
       4928;2024102807;   10;  4.00;eor
       4928;2024102808;   10; 55.00;eor
       4928;2024102809;   10; 47.00;eor
       4928;2024102810;   10; 46.00;eor
       4928;2024102811;   10;  2.00;eor
       4928;2024102812;   10; 28.00;eor
       4928;2024102813;   10; 60.00;eor
       4928;2024102814;   10; 59.00;eor
       4928;2024102815;   10; 60.00;eor
       4928;2024102816;   10; 50.00;eor
       4928;2024102817;   10;  0.00;eor
       4928;2024102818;   10;  0.00;eor
       4928;2024102819;   10;  0.00;eor
       4928;2024102820;   10;  0.00;eor
       4928;2024102903;   10;  0.00;eor
       4928;2024102904;   10;  0.00;eor
       4928;2024102905;   10;  0.00;eor
       4928;2024102906;   10;  0.00;eor
       4928;2024102907;   10;  5.00;eor
       4928;2024102908;   10; 49.00;eor
       4928;2024102909;   10; 57.00;eor
       4928;2024102910;   10; 60.00;eor
       4928;2024102911;   10; 60.00;eor
       4928;2024102912;   10; 60.00;eor
       4928;2024102913;   10; 60.00;eor
       4928;2024102914;   10; 60.00;eor
       4928;2024102915;   10; 60.00;eor
       4928;2024102916;   10; 47.00;eor
       4928;2024102917;   10;  0.00;eor
       4928;2024102918;   10;  0.00;eor
       4928;2024102919;   10;  0.00;eor
       4928;2024102920;   10;  0.00;eor
       4928;2024103003;   10;  0.00;eor
       4928;2024103004;   10;  0.00;eor
       4928;2024103005;   10;  0.00;eor
       4928;2024103006;   10;  0.00;eor
       4928;2024103007;   10;  0.00;eor
       4928;2024103008;   10; 24.00;eor
       4928;2024103009;   10; 54.00;eor
       4928;2024103010;   10; 60.00;eor
       4928;2024103011;   10; 47.00;eor
       4928;2024103012;   10; 31.00;eor
       4928;2024103013;   10; 28.00;eor
       4928;2024103014;   10; 58.00;eor
       4928;2024103015;   10; 60.00;eor
       4928;2024103016;   10; 48.00;eor
       4928;2024103017;   10;  0.00;eor
       4928;2024103018;   10;  0.00;eor
       4928;2024103019;   10;  0.00;eor
       4928;2024103020;   10;  0.00;eor
       4928;2024103103;   10;  0.00;eor
       4928;2024103104;   10;  0.00;eor
       4928;2024103105;   10;  0.00;eor
       4928;2024103106;   10;  0.00;eor
       4928;2024103107;   10;  0.00;eor
       4928;2024103108;   10;  0.00;eor
       4928;2024103109;   10;  0.00;eor
       4928;2024103110;   10;  0.00;eor
       4928;2024103111;   10;  0.00;eor
       4928;2024103112;   10;  0.00;eor
       4928;2024103113;   10;  0.00;eor
       4928;2024103114;   10;  0.00;eor
       4928;2024103115;   10;  0.00;eor
       4928;2024103116;   10;  0.00;eor
       4928;2024103117;   10;  0.00;eor
       4928;2024103118;   10;  0.00;eor
       4928;2024103119;   10;  0.00;eor
       4928;2024103120;   10;  0.00;eor
