"GCODE";"Ost";"Nord";"AWGN ID";"Parameter";"Messstation";"Gewässer";"Jahr";"Datum";"Tagesmittelwert";"Dimension"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"01.01.2024";"8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"02.01.2024";"8,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"03.01.2024";"9,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"04.01.2024";"8,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"05.01.2024";"7,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"06.01.2024";"8,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"07.01.2024";"7,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"08.01.2024";"5,8";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"09.01.2024";"4,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"10.01.2024";"3,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"11.01.2024";"3,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"12.01.2024";"3,6";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"13.01.2024";"4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"14.01.2024";"4,2";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"15.01.2024";"4,3";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"16.01.2024";"4,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"17.01.2024";"4,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"18.01.2024";"5,9";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"19.01.2024";"5,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"20.01.2024";"4,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"21.01.2024";"3,4";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"22.01.2024";"4,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"23.01.2024";"6,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"24.01.2024";"7,7";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"25.01.2024";"8,1";"°C"
"CFI129";"532.654";"5.394.442";"9.931";"Temperatur";"Plochingen (CFI129)";"Fils";"2024";"26.01.2024";"8,4";"°C"
