DATUM;entro;ecoli
06.05.2025;94;2150
16.05.2025;15;110
23.05.2025;353;10000
30.05.2025;15;61
02.06.2025;3306;9050
06.06.2025;144;931
10.06.2025;30;287
13.06.2025;15;126
16.06.2025;92;766
20.06.2025;30;94
23.06.2025;15;126
27.06.2025;61;213
30.06.2025;15;110
04.07.2025;15;127
07.07.2025;61;61
11.07.2025;15;61
14.07.2025;15;30
18.07.2025;126;232
21.07.2025;15;330
25.07.2025;127;332
28.07.2025;15200;35000
01.08.2025;268;1034
04.08.2025;872;5350
08.08.2025;61;457
11.08.2025;15;215
15.08.2025;15;30
19.08.2025;30;307
22.08.2025;94;232
25.08.2025;30;61
29.08.2025;330;5713
01.09.2025;15;46
